a	Noun	0.035714	0.946428	0.017857
a.d.	Adverb	0.000000	1.000000	0.000000
a.e.	Noun	0.000000	1.000000	0.000000
a.k.a.	Adverb	0.000000	1.000000	0.000000
a.m.	Adjective	0.000000	1.000000	0.000000
a.m.	Adverb	0.000000	1.000000	0.000000
aa	Noun	0.000000	1.000000	0.000000
aaa	Noun	0.125000	0.625000	0.250000
aachen	Noun	0.000000	1.000000	0.000000
aalborg	Noun	0.000000	1.000000	0.000000
aalii	Noun	0.000000	1.000000	0.000000
aalto	Noun	0.000000	1.000000	0.000000
aar	Noun	0.000000	1.000000	0.000000
aardvark	Noun	0.000000	1.000000	0.000000
aardwolf	Noun	0.000000	1.000000	0.000000
aare	Noun	0.000000	1.000000	0.000000
aarhus	Noun	0.000000	1.000000	0.000000
aaron	Noun	0.000000	1.000000	0.000000
aarp	Noun	0.000000	1.000000	0.000000
aas	Noun	0.000000	1.000000	0.000000
ab	Noun	0.000000	1.000000	0.000000
aba	Noun	0.000000	1.000000	0.000000
abaca	Noun	0.000000	1.000000	0.000000
aback	Adverb	0.062500	0.875000	0.062500
abactinal	Adjective	0.000000	1.000000	0.000000
abacus	Noun	0.000000	1.000000	0.000000
abadan	Noun	0.000000	1.000000	0.000000
abaft	Adverb	0.000000	1.000000	0.000000
abalone	Noun	0.000000	1.000000	0.000000
abamp	Noun	0.000000	1.000000	0.000000
abampere	Noun	0.000000	1.000000	0.000000
abandon	Noun	0.375000	0.562500	0.062500
abandon	Verb	0.150000	0.850000	0.000000
abandoned	Adjective	0.187500	0.562500	0.250000
abandonment	Noun	0.166666	0.833333	0.000000
abarticulation	Noun	0.000000	1.000000	0.000000
abase	Verb	0.625000	0.375000	0.000000
abasement	Noun	0.250000	0.437500	0.312500
abash	Verb	0.250000	0.750000	0.000000
abashed	Adjective	0.375000	0.625000	0.000000
abashment	Noun	0.500000	0.375000	0.125000
abasia	Noun	0.625000	0.250000	0.125000
abasic	Adjective	0.375000	0.500000	0.125000
abatable	Adjective	0.000000	0.375000	0.625000
abate	Verb	0.125000	0.875000	0.000000
abatement	Noun	0.062500	0.937500	0.000000
abatic	Adjective	0.375000	0.500000	0.125000
abatis	Noun	0.000000	1.000000	0.000000
abattis	Noun	0.000000	1.000000	0.000000
abattoir	Noun	0.000000	1.000000	0.000000
abaxial	Adjective	0.000000	1.000000	0.000000
abaxially	Adverb	0.000000	0.750000	0.250000
abaya	Noun	0.000000	1.000000	0.000000
abb	Noun	0.000000	1.000000	0.000000
abbacy	Noun	0.000000	1.000000	0.000000
abbatial	Adjective	0.000000	1.000000	0.000000
abbe	Noun	0.000000	0.875000	0.125000
abbess	Noun	0.000000	1.000000	0.000000
abbey	Noun	0.000000	1.000000	0.000000
abbot	Noun	0.000000	0.500000	0.500000
abbreviate	Verb	0.000000	1.000000	0.000000
abbreviated	Adjective	0.000000	1.000000	0.000000
abbreviation	Noun	0.000000	1.000000	0.000000
abbreviator	Noun	0.000000	1.000000	0.000000
abc	Noun	0.000000	1.000000	0.000000
abcoulomb	Noun	0.000000	1.000000	0.000000
abcs	Noun	0.000000	1.000000	0.000000
abc's	Noun	0.000000	1.000000	0.000000
abdias	Noun	0.125000	0.875000	0.000000
abdicable	Adjective	0.125000	0.375000	0.500000
abdicate	Verb	0.000000	1.000000	0.000000
abdication	Noun	0.000000	1.000000	0.000000
abdicator	Noun	0.000000	1.000000	0.000000
abdomen	Noun	0.000000	1.000000	0.000000
abdominal	Adjective	0.000000	1.000000	0.000000
abdominal	Noun	0.000000	1.000000	0.000000
abdominocentesis	Noun	0.000000	1.000000	0.000000
abdominoplasty	Noun	0.000000	1.000000	0.000000
abdominous	Adjective	0.000000	1.000000	0.000000
abdominousness	Noun	0.000000	1.000000	0.000000
abdominovesical	Adjective	0.000000	1.000000	0.000000
abduce	Verb	0.000000	1.000000	0.000000
abducens	Noun	0.000000	1.000000	0.000000
abducent	Adjective	0.000000	1.000000	0.000000
abducent	Noun	0.000000	1.000000	0.000000
abduct	Verb	0.062500	0.937500	0.000000
abducting	Adjective	0.000000	1.000000	0.000000
abduction	Noun	0.000000	1.000000	0.000000
abductor	Noun	0.000000	1.000000	0.000000
abeam	Adverb	0.000000	1.000000	0.000000
